,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine_in_cc,Seats,Make,Model
0,Jeep Compass 2.0 Longitude Option BSIV,1002999,86226,Diesel,Manual,1st Owner,2017,1956,5 Seats,Jeep,Compass 2.0 Longitude Option BSIV
1,Renault Duster RXZ Turbo CVT,1283000,13248,Petrol,Automatic,1st Owner,2021,1330,5 Seats,Renault,Duster RXZ Turbo CVT
2,Toyota Camry 2.5 G,1639999,60343,Petrol,Automatic,1st Owner,2016,2494,5 Seats,Toyota,Camry 2.5 G
3,Honda Jazz VX CVT,777000,26696,Petrol,Automatic,1st Owner,2018,1199,5 Seats,Honda,Jazz VX CVT
4,Volkswagen Polo 1.2 MPI Highline,515000,69414,Petrol,Manual,1st Owner,2016,1199,5 Seats,Volkswagen,Polo 1.2 MPI Highline
5,Volkswagen Vento 1.2 TSI Highline AT,766000,49719,Petrol,Automatic,1st Owner,2017,1197,5 Seats,Volkswagen,Vento 1.2 TSI Highline AT
6,Volkswagen Vento 1.2 TSI Highline Plus AT,758000,43688,Petrol,Automatic,1st Owner,2017,1197,5 Seats,Volkswagen,Vento 1.2 TSI Highline Plus AT
7,Honda WR-V VX Diesel,1160000,14470,Diesel,Manual,1st Owner,2021,1498,5 Seats,Honda,WR-V VX Diesel
8,Honda City i VTEC CVT SV,699000,21429,Petrol,Automatic,1st Owner,2015,1497,5 Seats,Honda,City i VTEC CVT SV
9,Renault Duster Petrol RXS CVT,753000,31750,Petrol,Automatic,1st Owner,2017,1498,5 Seats,Renault,Duster Petrol RXS CVT
10,Maruti Baleno 1.2 Alpha,643000,38203,Petrol,Manual,1st Owner,2017,1197,5 Seats,Maruti,Baleno 1.2 Alpha
11,Honda City i VTEC CVT SV,543000,110284,Petrol,Automatic,1st Owner,2014,1497,5 Seats,Honda,City i VTEC CVT SV
12,Mahindra XUV300 W6,861999,10381,Petrol,Manual,1st Owner,2020,1197,5 Seats,Mahindra,XUV300 W6
13,Jeep Compass 1.4 Limited Plus BSIV,1678000,32378,Petrol,Automatic,1st Owner,2019,1368,5 Seats,Jeep,Compass 1.4 Limited Plus BSIV
14,Honda City V MT,1002999,38906,Petrol,Manual,1st Owner,2020,1498,5 Seats,Honda,City V MT
15,Hyundai Grand i10 AT Asta,563000,59313,Petrol,Automatic,2nd Owner,2016,1197,5 Seats,Hyundai,Grand i10 AT Asta
16,Hyundai i20 1.4 Asta,667000,85672,Diesel,Manual,1st Owner,2017,1396,5 Seats,Hyundai,i20 1.4 Asta
17,Maruti Ciaz 1.4 Delta,673000,34971,Petrol,Manual,2nd Owner,2017,1373,5 Seats,Maruti,Ciaz 1.4 Delta
18,Nissan Micra XL Optional,321000,35894,Petrol,Manual,2nd Owner,2015,1198,5 Seats,Nissan,Micra XL Optional
